KEY,TICKER,DATE,TIME,CLOSE
450,SBER,2024-05-24,21:00:00,298.10956109368
451,SBER,2024-05-24,22:00:00,298.10956109368
452,SBER,2024-05-24,23:00:00,298.10956109368
453,SBER,2024-05-27,10:00:00,298.10956109368
454,SBER,2024-05-27,11:00:00,298.10956109368
455,SBER,2024-05-27,12:00:00,298.10956109368
456,SBER,2024-05-27,13:00:00,298.10956109368
457,SBER,2024-05-27,14:00:00,298.10956109368
458,SBER,2024-05-27,15:00:00,298.10956109368
459,SBER,2024-05-27,16:00:00,298.10956109368
460,SBER,2024-05-27,17:00:00,298.10956109368
461,SBER,2024-05-27,18:00:00,298.10956109368
462,SBER,2024-05-27,20:00:00,298.10956109368
463,SBER,2024-05-27,21:00:00,298.10956109368
464,SBER,2024-05-27,22:00:00,298.10956109368
465,SBER,2024-05-27,23:00:00,298.10956109368
466,SBER,2024-05-28,10:00:00,298.10956109368
467,SBER,2024-05-28,11:00:00,298.10956109368
468,SBER,2024-05-28,12:00:00,298.10956109368
469,SBER,2024-05-28,13:00:00,298.10956109368
470,SBER,2024-05-28,14:00:00,298.10956109368
471,SBER,2024-05-28,15:00:00,298.10956109368
472,SBER,2024-05-28,16:00:00,298.10956109368
473,SBER,2024-05-28,17:00:00,298.10956109368
474,SBER,2024-05-28,18:00:00,298.10956109368
475,SBER,2024-05-28,20:00:00,298.10956109368
476,SBER,2024-05-28,21:00:00,298.10956109368
477,SBER,2024-05-28,22:00:00,298.10956109368
478,SBER,2024-05-28,23:00:00,298.10956109368
479,SBER,2024-05-29,10:00:00,298.10956109368
480,SBER,2024-05-29,11:00:00,298.10956109368
481,SBER,2024-05-29,12:00:00,298.10956109368
482,SBER,2024-05-29,13:00:00,298.10956109368
483,SBER,2024-05-29,14:00:00,298.10956109368
484,SBER,2024-05-29,15:00:00,298.10956109368
485,SBER,2024-05-29,16:00:00,298.10956109368
486,SBER,2024-05-29,17:00:00,298.10956109368
487,SBER,2024-05-29,18:00:00,298.10956109368
488,SBER,2024-05-29,20:00:00,298.10956109368
489,SBER,2024-05-29,21:00:00,298.10956109368
490,SBER,2024-05-29,22:00:00,298.10956109368
491,SBER,2024-05-29,23:00:00,298.10956109368
492,SBER,2024-05-30,10:00:00,298.10956109368
493,SBER,2024-05-30,11:00:00,298.10956109368
494,SBER,2024-05-30,12:00:00,298.10956109368
495,SBER,2024-05-30,13:00:00,298.10956109368
496,SBER,2024-05-30,14:00:00,298.10956109368
497,SBER,2024-05-30,15:00:00,298.10956109368
498,SBER,2024-05-30,16:00:00,298.10956109368
499,SBER,2024-05-30,17:00:00,298.10956109368
500,SBER,2024-05-30,18:00:00,298.10956109368
501,SBER,2024-05-30,20:00:00,298.10956109368
502,SBER,2024-05-30,21:00:00,298.10956109368
503,SBER,2024-05-30,22:00:00,298.10956109368
504,SBER,2024-05-30,23:00:00,298.10956109368
505,SBER,2024-05-31,10:00:00,298.10956109368
506,SBER,2024-05-31,11:00:00,298.10956109368
507,SBER,2024-05-31,12:00:00,298.10956109368
